01 - Bas-Saint-Laurent,8
02 - Saguenay – Lac-Saint-Jean,18
03 - Capitale-Nationale,164
04 - Mauricie-et-Centre-du-Québec,122
05 - Estrie,296
06 - Montréal,1 361
07 - Outaouais,28
08 - Abitibi-Témiscamingue,27
09 - Côte-Nord,17
10 - Nord-du-Québec,1
11 - Gaspésie-Îles-de-la-Madeleine,9
12 - Chaudière-Appalaches,86
13 - Laval,180
14 - Lanaudière,144
15 - Laurentides,120
16 - Montérégie,257
17 - Nunavik,1
18 - Terres-Cries-de-la-Baie-James,1
Total,2 840
